'Elapsed time','ECG1'
'0:06.620',-0.110
'0:06.624',-0.025
'0:06.628',-0.225
'0:06.632',-0.525
'0:06.636',-0.370
'0:06.640',-0.095
'0:06.644',0.220
'0:06.648',0.545
'0:06.652',0.870
'0:06.656',1.195
'0:06.660',1.015
'0:06.664',0.795
'0:06.668',0.470
'0:06.672',0.140
'0:06.676',-0.185
'0:06.680',-0.515
'0:06.684',-0.840
'0:06.688',-1.170
'0:06.692',-1.495
'0:06.696',-1.780
'0:06.700',-1.860
'0:06.704',-1.850
'0:06.708',-1.525
'0:06.712',-1.200
'0:06.716',-0.875
'0:06.720',-0.605
'0:06.724',-0.460
'0:06.728',-0.350
'0:06.732',-0.305
'0:06.736',-0.275
'0:06.740',-0.255
'0:06.744',-0.230
'0:06.748',-0.200
'0:06.752',-0.170
'0:06.756',-0.145
'0:06.760',-0.130
'0:06.764',-0.135
'0:06.768',-0.135
'0:06.772',-0.125
'0:06.776',-0.115
'0:06.780',-0.095
'0:06.784',-0.085
'0:06.788',-0.075
'0:06.792',-0.070
'0:06.796',-0.070
'0:06.800',-0.070
'0:06.804',-0.065
'0:06.808',-0.050
'0:06.812',-0.035
'0:06.816',-0.020
'0:06.820',-0.005
'0:06.824',0.000
'0:06.828',0.000
'0:06.832',0.020
'0:06.836',0.050
'0:06.840',0.060
'0:06.844',0.070
'0:06.848',0.085
'0:06.852',0.100
'0:06.856',0.125
'0:06.860',0.150
'0:06.864',0.165
'0:06.868',0.185
'0:06.872',0.215
'0:06.876',0.250
'0:06.880',0.290
'0:06.884',0.325
'0:06.888',0.345
'0:06.892',0.360
'0:06.896',0.370
'0:06.900',0.395
'0:06.904',0.440
'0:06.908',0.485
'0:06.912',0.525
'0:06.916',0.565
'0:06.920',0.600
'0:06.924',0.625
'0:06.928',0.640
'0:06.932',0.660
'0:06.936',0.680
'0:06.940',0.700
'0:06.944',0.720
'0:06.948',0.735
'0:06.952',0.745
'0:06.956',0.750
'0:06.960',0.755
'0:06.964',0.755
'0:06.968',0.745
'0:06.972',0.720
'0:06.976',0.695
'0:06.980',0.655
'0:06.984',0.615
'0:06.988',0.560
'0:06.992',0.505
'0:06.996',0.470
'0:07.000',0.500
'0:07.004',0.370
'0:07.008',0.310
'0:07.012',0.280
'0:07.016',0.250
'0:07.020',0.200
'0:07.024',0.160
'0:07.028',0.125
'0:07.032',0.095
'0:07.036',0.060
'0:07.040',0.030
'0:07.044',0.005
'0:07.048',-0.010
'0:07.052',-0.025
'0:07.056',-0.040
'0:07.060',-0.040
'0:07.064',-0.040
'0:07.068',-0.050
'0:07.072',-0.060
'0:07.076',-0.055
'0:07.080',-0.050
'0:07.084',-0.055
'0:07.088',-0.065
'0:07.092',-0.075
'0:07.096',-0.080
'0:07.100',-0.075
'0:07.104',-0.070
'0:07.108',-0.070
'0:07.112',-0.065
'0:07.116',-0.055
'0:07.120',-0.045
'0:07.124',-0.035
'0:07.128',-0.030
'0:07.132',-0.030
'0:07.136',-0.030
'0:07.140',-0.030
'0:07.144',-0.030
'0:07.148',-0.025
'0:07.152',-0.020
'0:07.156',-0.025
'0:07.160',-0.015
'0:07.164',0.005
'0:07.168',0.010
'0:07.172',0.010
'0:07.176',0.025
'0:07.180',0.040
'0:07.184',0.035
'0:07.188',0.030
'0:07.192',0.045
'0:07.196',0.060
'0:07.200',0.065
'0:07.204',0.070
'0:07.208',0.055
'0:07.212',0.040
'0:07.216',0.055
'0:07.220',0.070
'0:07.224',0.080
'0:07.228',0.085
'0:07.232',0.065
'0:07.236',0.050
'0:07.240',0.055
'0:07.244',0.060
'0:07.248',0.055
'0:07.252',0.050
'0:07.256',0.050
'0:07.260',0.050
'0:07.264',0.055
'0:07.268',0.055
'0:07.272',0.045
'0:07.276',0.030
'0:07.280',0.010
'0:07.284',0.010
'0:07.288',0.025
'0:07.292',0.030
'0:07.296',0.030
'0:07.300',0.020
'0:07.304',0.005
'0:07.308',0.000
'0:07.312',-0.005
'0:07.316',0.000
'0:07.320',0.015
'0:07.324',-0.010
'0:07.328',-0.045
'0:07.332',-0.045
'0:07.336',-0.030
'0:07.340',-0.020
'0:07.344',-0.010
'0:07.348',-0.035
'0:07.352',-0.060
'0:07.356',-0.050
'0:07.360',-0.040
'0:07.364',-0.030
'0:07.368',-0.020
'0:07.372',-0.030
'0:07.376',-0.040
'0:07.380',-0.045
'0:07.384',-0.055
'0:07.388',-0.075
'0:07.392',-0.080
'0:07.396',-0.035
'0:07.400',-0.005
'0:07.404',0.015
'0:07.408',0.040
'0:07.412',0.070
'0:07.416',0.090
'0:07.420',0.075
'0:07.424',0.075
'0:07.428',0.085
'0:07.432',0.100
'0:07.436',0.120
'0:07.440',0.155
'0:07.444',0.195
'0:07.448',0.240
'0:07.452',0.295
'0:07.456',0.300
'0:07.460',0.285
'0:07.464',0.255
'0:07.468',0.220
'0:07.472',0.185
'0:07.476',0.150
'0:07.480',0.125
'0:07.484',0.105
'0:07.488',0.075
'0:07.492',0.045
'0:07.496',0.010
'0:07.500',0.040
'0:07.504',-0.050
'0:07.508',-0.070
'0:07.512',-0.090
'0:07.516',-0.110
'0:07.520',-0.100
'0:07.524',-0.090
'0:07.528',-0.095
'0:07.532',-0.100
'0:07.536',-0.110
'0:07.540',-0.115
'0:07.544',-0.090
'0:07.548',-0.070
'0:07.552',-0.085
'0:07.556',-0.095
'0:07.560',-0.080
'0:07.564',-0.030
'0:07.568',0.075
'0:07.572',0.085
'0:07.576',-0.045
'0:07.580',-0.195
'0:07.584',-0.360
'0:07.588',-0.275
'0:07.592',0.050
'0:07.596',0.375
'0:07.600',0.700
'0:07.604',1.025
'0:07.608',1.350
'0:07.612',1.250
'0:07.616',0.925
'0:07.620',0.595
'0:07.624',0.270
'0:07.628',-0.060
'0:07.632',-0.385
'0:07.636',-0.715
'0:07.640',-1.040
'0:07.644',-1.370
'0:07.648',-1.695
'0:07.652',-1.550
'0:07.656',-1.335
'0:07.660',-1.020
'0:07.664',-0.695
'0:07.668',-0.500
'0:07.672',-0.310
'0:07.676',-0.255
'0:07.680',-0.195
'0:07.684',-0.130
'0:07.688',-0.070
'0:07.692',-0.090
'0:07.696',-0.100
'0:07.700',-0.035
'0:07.704',0.015
'0:07.708',-0.015
'0:07.712',-0.040
'0:07.716',-0.025
'0:07.720',-0.010
'0:07.724',0.000
'0:07.728',0.010
'0:07.732',0.020
'0:07.736',0.030
'0:07.740',0.030
'0:07.744',0.030
'0:07.748',0.020
'0:07.752',0.040
'0:07.756',0.105
'0:07.760',0.125
'0:07.764',0.095
'0:07.768',0.075
'0:07.772',0.065
'0:07.776',0.095
'0:07.780',0.150
'0:07.784',0.180
'0:07.788',0.195
'0:07.792',0.185
'0:07.796',0.165
'0:07.800',0.210
'0:07.804',0.275
'0:07.808',0.310
'0:07.812',0.335
'0:07.816',0.320
'0:07.820',0.295
'0:07.824',0.320
'0:07.828',0.355
'0:07.832',0.375
'0:07.836',0.400
'0:07.840',0.420
'0:07.844',0.440
'0:07.848',0.515
'0:07.852',0.580
'0:07.856',0.615
'0:07.860',0.650
'0:07.864',0.635
'0:07.868',0.630
'0:07.872',0.685
'0:07.876',0.730
'0:07.880',0.745
'0:07.884',0.760
'0:07.888',0.775
'0:07.892',0.795
'0:07.896',0.810
'0:07.900',0.825
'0:07.904',0.845
'0:07.908',0.890
'0:07.912',0.960
'0:07.916',0.935
'0:07.920',0.795
'0:07.924',0.735
'0:07.928',0.745
'0:07.932',0.710
'0:07.936',0.640
'0:07.940',0.605
'0:07.944',0.590
'0:07.948',0.525
'0:07.952',0.445
'0:07.956',0.395
'0:07.960',0.360
'0:07.964',0.295
'0:07.968',0.215
'0:07.972',0.185
'0:07.976',0.165
'0:07.980',0.165
'0:07.984',0.175
'0:07.988',0.120
'0:07.992',0.055
'0:07.996',0.030
'0:08.000',0.050
'0:08.004',0.035
'0:08.008',0.070
'0:08.012',0.040
'0:08.016',0.010
'0:08.020',-0.010
'0:08.024',-0.030
'0:08.028',-0.025
'0:08.032',-0.020
'0:08.036',-0.035
'0:08.040',-0.045
'0:08.044',-0.015
'0:08.048',0.010
'0:08.052',0.015
'0:08.056',0.015
'0:08.060',-0.010
'0:08.064',-0.025
'0:08.068',0.005
'0:08.072',0.010
'0:08.076',-0.020
'0:08.080',-0.025
'0:08.084',0.020
'0:08.088',0.030
'0:08.092',0.010
'0:08.096',0.000
'0:08.100',0.000
'0:08.104',0.000
'0:08.108',-0.005
'0:08.112',0.010
'0:08.116',0.045
'0:08.120',0.055
'0:08.124',0.045
'0:08.128',0.040
'0:08.132',0.040
'0:08.136',0.040
'0:08.140',0.040
'0:08.144',0.045
'0:08.148',0.055
'0:08.152',0.090
'0:08.156',0.125
'0:08.160',0.110
'0:08.164',0.085
'0:08.168',0.065
'0:08.172',0.050
'0:08.176',0.055
'0:08.180',0.060
'0:08.184',0.065
'0:08.188',0.070
'0:08.192',0.055
'0:08.196',0.040
'0:08.200',0.055
'0:08.204',0.070
'0:08.208',0.090
'0:08.212',0.100
'0:08.216',0.060
'0:08.220',0.030
'0:08.224',0.040
'0:08.228',0.060
'0:08.232',0.105
'0:08.236',0.110
'0:08.240',0.055
'0:08.244',0.015
'0:08.248',-0.005
'0:08.252',-0.015
'0:08.256',0.000
'0:08.260',0.015
'0:08.264',0.025
'0:08.268',0.025
'0:08.272',0.010
'0:08.276',0.000
'0:08.280',0.005
'0:08.284',0.015
'0:08.288',0.025
'0:08.292',0.050
'0:08.296',0.080
'0:08.300',0.095
'0:08.304',0.105
'0:08.308',0.110
'0:08.312',0.115
'0:08.316',0.110
'0:08.320',0.095
'0:08.324',0.155
'0:08.328',0.225
'0:08.332',0.255
'0:08.336',0.290
'0:08.340',0.345
'0:08.344',0.400
'0:08.348',0.370
'0:08.352',0.335
'0:08.356',0.290
'0:08.360',0.245
'0:08.364',0.185
'0:08.368',0.135
'0:08.372',0.110
'0:08.376',0.090
'0:08.380',0.095
'0:08.384',0.095
'0:08.388',0.075
'0:08.392',0.045
'0:08.396',-0.015
'0:08.400',-0.060
'0:08.404',-0.095
'0:08.408',-0.120
'0:08.412',-0.110
'0:08.416',-0.090
'0:08.420',-0.065
'0:08.424',-0.045
'0:08.428',-0.035
'0:08.432',-0.055
'0:08.436',-0.100
'0:08.440',-0.105
'0:08.444',-0.080
'0:08.448',-0.060
'0:08.452',-0.045
'0:08.456',0.025
'0:08.460',0.115
'0:08.464',0.070
'0:08.468',-0.030
'0:08.472',-0.175
'0:08.476',-0.335
'0:08.480',-0.085
'0:08.484',0.240
'0:08.488',0.565
'0:08.492',0.890
'0:08.496',1.215
'0:08.500',0.910
'0:08.504',1.220
'0:08.508',0.890
'0:08.512',0.565
'0:08.516',0.235
'0:08.520',-0.090
'0:08.524',-0.420
'0:08.528',-0.745
'0:08.532',-1.075
'0:08.536',-1.400
'0:08.540',-1.585
'0:08.544',-1.275
'0:08.548',-0.960
'0:08.552',-0.635
'0:08.556',-0.380
'0:08.560',-0.265
'0:08.564',-0.175
'0:08.568',-0.130
'0:08.572',-0.100
'0:08.576',-0.095
'0:08.580',-0.075
'0:08.584',-0.030
'0:08.588',0.005
'0:08.592',0.040
'0:08.596',0.040
'0:08.600',0.005
'0:08.604',0.010
'0:08.608',0.055
'0:08.612',0.060
'0:08.616',0.045
'0:08.620',0.055
'0:08.624',0.080
'0:08.628',0.100
'0:08.632',0.115
'0:08.636',0.105
'0:08.640',0.085
'0:08.644',0.090
'0:08.648',0.105
'0:08.652',0.095
'0:08.656',0.075
'0:08.660',0.150
'0:08.664',0.235
'0:08.668',0.200
'0:08.672',0.160
'0:08.676',0.180
'0:08.680',0.200
'0:08.684',0.215
'0:08.688',0.230
'0:08.692',0.260
'0:08.696',0.295
'0:08.700',0.335
'0:08.704',0.370
'0:08.708',0.385
'0:08.712',0.400
'0:08.716',0.415
'0:08.720',0.435
'0:08.724',0.470
'0:08.728',0.510
'0:08.732',0.565
'0:08.736',0.605
'0:08.740',0.625
'0:08.744',0.650
'0:08.748',0.675
'0:08.752',0.715
'0:08.756',0.765
'0:08.760',0.800
'0:08.764',0.825
'0:08.768',0.845
'0:08.772',0.855
'0:08.776',0.875
'0:08.780',0.910
'0:08.784',0.920
'0:08.788',0.920
'0:08.792',0.925
'0:08.796',0.935
'0:08.800',0.940
'0:08.804',0.935
'0:08.808',0.915
'0:08.812',0.895
'0:08.816',0.850
'0:08.820',0.805
'0:08.824',0.710
'0:08.828',0.605
'0:08.832',0.600
'0:08.836',0.590
'0:08.840',0.500
'0:08.844',0.410
'0:08.848',0.395
'0:08.852',0.380
'0:08.856',0.355
'0:08.860',0.325
'0:08.864',0.290
'0:08.868',0.250
'0:08.872',0.190
'0:08.876',0.145
'0:08.880',0.170
'0:08.884',0.180
'0:08.888',0.140
'0:08.892',0.110
'0:08.896',0.105
'0:08.900',0.095
'0:08.904',0.080
'0:08.908',0.070
'0:08.912',0.080
'0:08.916',0.080
'0:08.920',0.055
'0:08.924',0.055
'0:08.928',0.085
'0:08.932',0.095
'0:08.936',0.080
'0:08.940',0.070
'0:08.944',0.065
'0:08.948',0.050
'0:08.952',0.035
'0:08.956',0.030
'0:08.960',0.025
'0:08.964',0.030
'0:08.968',0.045
'0:08.972',0.045
'0:08.976',0.035
'0:08.980',0.040
'0:08.984',0.055
'0:08.988',0.075
'0:08.992',0.095
'0:08.996',0.085
'0:09.000',0.100
'0:09.004',0.075
'0:09.008',0.090
'0:09.012',0.080
'0:09.016',0.070
'0:09.020',0.075
'0:09.024',0.080
'0:09.028',0.060
'0:09.032',0.040
'0:09.036',0.025
'0:09.040',0.020
'0:09.044',0.065
'0:09.048',0.100
'0:09.052',0.085
'0:09.056',0.075
'0:09.060',0.090
'0:09.064',0.095
'0:09.068',0.075
'0:09.072',0.060
'0:09.076',0.050
'0:09.080',0.040
'0:09.084',0.035
'0:09.088',0.040
'0:09.092',0.065
'0:09.096',0.045
'0:09.100',-0.020
'0:09.104',-0.025
'0:09.108',0.020
'0:09.112',0.045
'0:09.116',0.055
'0:09.120',0.050
'0:09.124',0.035
'0:09.128',0.030
'0:09.132',0.025
'0:09.136',0.025
'0:09.140',0.035
'0:09.144',0.015
'0:09.148',-0.015
'0:09.152',-0.015
'0:09.156',-0.005
'0:09.160',0.005
'0:09.164',0.015
'0:09.168',0.020
'0:09.172',0.020
'0:09.176',0.025
'0:09.180',0.030
'0:09.184',0.025
'0:09.188',0.020
'0:09.192',0.005
'0:09.196',-0.010
'0:09.200',0.010
'0:09.204',0.030
'0:09.208',0.025
'0:09.212',0.020
'0:09.216',0.020
'0:09.220',0.035
'0:09.224',0.085
'0:09.228',0.115
'0:09.232',0.095
'0:09.236',0.085
'0:09.240',0.105
'0:09.244',0.120
'0:09.248',0.115
'0:09.252',0.120
'0:09.256',0.140
'0:09.260',0.205
'0:09.264',0.305
'0:09.268',0.330
'0:09.272',0.285
'0:09.276',0.275
'0:09.280',0.285
'0:09.284',0.270
'0:09.288',0.230
'0:09.292',0.165
'0:09.296',0.090
'0:09.300',0.070
'0:09.304',0.065
'0:09.308',0.060
'0:09.312',0.060
'0:09.316',0.000
'0:09.320',-0.070
'0:09.324',-0.080
'0:09.328',-0.075
'0:09.332',-0.100
'0:09.336',-0.140
'0:09.340',-0.140
'0:09.344',-0.140
'0:09.348',-0.110
'0:09.352',-0.080
'0:09.356',-0.085
'0:09.360',-0.090
'0:09.364',-0.065
'0:09.368',-0.045
'0:09.372',-0.075
'0:09.376',-0.095
'0:09.380',-0.075
'0:09.384',-0.025
'0:09.388',0.095
'0:09.392',0.075
'0:09.396',-0.245
'0:09.400',-0.360
'0:09.404',-0.150
'0:09.408',0.110
'0:09.412',0.435
'0:09.416',0.760
'0:09.420',1.085
'0:09.424',1.220
'0:09.428',1.180
'0:09.432',0.975
'0:09.436',0.645
'0:09.440',0.320
'0:09.444',-0.010
'0:09.448',-0.340
'0:09.452',-0.665
'0:09.456',-0.995
'0:09.460',-1.320
'0:09.464',-1.545
'0:09.468',-1.730
'0:09.472',-1.510
'0:09.476',-1.185
'0:09.480',-0.860
'0:09.484',-0.535
'0:09.488',-0.370
'0:09.492',-0.220
'0:09.496',-0.200
'0:09.500',-0.210
'0:09.504',-0.130
'0:09.508',-0.080
'0:09.512',-0.050
'0:09.516',-0.020
'0:09.520',-0.050
'0:09.524',-0.080
'0:09.528',-0.045
'0:09.532',-0.020
'0:09.536',-0.030
'0:09.540',-0.035
'0:09.544',-0.010
'0:09.548',0.010
'0:09.552',0.005
'0:09.556',0.010
'0:09.560',0.040
'0:09.564',0.075
'0:09.568',0.115
'0:09.572',0.125
'0:09.576',0.085
'0:09.580',0.075
'0:09.584',0.120
'0:09.588',0.145
'0:09.592',0.160
'0:09.596',0.165
'0:09.600',0.155
'0:09.604',0.160
'0:09.608',0.180
'0:09.612',0.220
'0:09.616',0.270
'0:09.620',0.295
'0:09.624',0.305
'0:09.628',0.310
'0:09.632',0.305
'0:09.636',0.320
'0:09.640',0.345
'0:09.644',0.390
'0:09.648',0.440
'0:09.652',0.465
'0:09.656',0.485
'0:09.660',0.520
'0:09.664',0.555
'0:09.668',0.570
'0:09.672',0.580
'0:09.676',0.615
'0:09.680',0.650
'0:09.684',0.695
'0:09.688',0.740
'0:09.692',0.750
'0:09.696',0.765
'0:09.700',0.805
'0:09.704',0.840
'0:09.708',0.845
'0:09.712',0.850
'0:09.716',0.860
'0:09.720',0.860
'0:09.724',0.825
'0:09.728',0.805
'0:09.732',0.825
'0:09.736',0.825
'0:09.740',0.785
'0:09.744',0.730
'0:09.748',0.650
'0:09.752',0.600
'0:09.756',0.575
'0:09.760',0.535
'0:09.764',0.490
'0:09.768',0.435
'0:09.772',0.365
'0:09.776',0.315
'0:09.780',0.265
'0:09.784',0.225
'0:09.788',0.185
'0:09.792',0.150
'0:09.796',0.120
'0:09.800',0.095
'0:09.804',0.075
'0:09.808',0.060
'0:09.812',0.045
'0:09.816',0.040
'0:09.820',0.040
'0:09.824',0.040
'0:09.828',0.045
'0:09.832',0.020
'0:09.836',-0.020
'0:09.840',-0.020
'0:09.844',-0.020
'0:09.848',-0.035
'0:09.852',-0.050
'0:09.856',-0.060
'0:09.860',-0.070
'0:09.864',-0.035
'0:09.868',-0.015
'0:09.872',-0.040
'0:09.876',-0.050
'0:09.880',-0.010
'0:09.884',0.020
'0:09.888',0.005
'0:09.892',-0.010
'0:09.896',0.000
'0:09.900',0.010
'0:09.904',0.015
'0:09.908',0.015
'0:09.912',-0.005
'0:09.916',-0.020
'0:09.920',-0.025
'0:09.924',-0.015
'0:09.928',0.015
'0:09.932',0.025
'0:09.936',0.015
'0:09.940',0.005
'0:09.944',-0.010
'0:09.948',-0.010
'0:09.952',0.005
'0:09.956',0.005
'0:09.960',-0.005
'0:09.964',0.000
'0:09.968',0.015
'0:09.972',0.010
'0:09.976',-0.005
'0:09.980',-0.005
'0:09.984',0.005
'0:09.988',-0.005
'0:09.992',-0.025
'0:09.996',-0.030
